sentence1	sentence2	score
Philippines, rebels reach wealth-sharing deal	Philippines and rebels reach 'wealth deal'	5
Death toll from west Chinas violence rises to 35	Urgent: Death toll from NE China fire rises to 112	1.2
Imran to contest from four NA seats	Imran Khan to contest elections from four NA seats	4.75
Trailblazing Israeli electric car company Better Place to fold	Trailblazing Israeli electric car company to fold	4.4
Houston Texans head coach Gary Kubiak hospitalized after collapsing at game	Texans coach Gary Kubiak in stable condition after collapse	2.8
Pro-Pak Taliban warlord killed in US drone strike	Taliban commander killed in US drone strike	4.4
Car bomb kills 20 in northwest Syria	Car bomb in northern Syria kills 20	4.6
South Korean soldiers kill man trying to cross border into North	North Korea Shuts Last Remaining Hotline to South	1
Up to 50 dead in Spanish train crash	Over 70 dead in Spanish high-speed train crash	3.4
Five foreigners sentenced to death for drug smuggling in Egypt	Egypt sentences Pakistani amid 5 to death for drug smuggling	4.2
French train derails south of Paris	French train passengers tell of crash ordeal	1.2
Former spokesman for U.S. President Ronald Reagan dies	Former Reagan spokesman Larry Speakes dies at 74	4.2
Egypt votes on new constitution	Egyptians vote on divisive constitution	3.8
Obama meets Mandela family as icon remains in hospital	Obamas to meet Mandela family wont visit hospital	2.8
Weak earnings drag US stocks lower in early trade	Weak earnings drag stocks lower on Wall Street	3.8
Three feared dead after helicopter crashes into pub	Three feared dead after helicopter pub crash	5
Nigeria lawmaker charged over alleged bribery	Nigerian MP charged with accepting $3m bribe	3.4
Rupee down 8 paise vs dollar in early trade	Rupee up 22 paise against dollar in early trade	1.8
Israel's Peres urges return to peace talks	Israel's Peres calls for return to peace talks	5
Obama set to speak on Syria from White House at 1:15 p.m. EDT	Obama to deliver statement on Syria at White House at 1:15 PM	5
Indian stocks open lower	Indian stocks close lower	1.8
US readies possible solo action against Syria	US makes case for action against Syria	3.4
Brief clashes with police in Belfast	Mourners clash with police in Tunisia	1.2
China quake: Death toll rises	China flu death toll rises to six	1.4
Four arrested as Bangladesh building toll rises to 352	Owner arrested as Bangladesh building toll reaches 372	2.6
RI condemns use of chemical weapons in Syria	Questions arise over chemical weapons claims in Syria	2.6
Strong new quake hits shattered Pak region	Powerful new earthquake hits shattered Pakistan region	4.8
Indian troops kill Pakistani soldier along Kashmir line of control	Indian troops raid Pakistani military post	1.2
Pope Benedict XVI Says Goodbye to Cardinals	Pope Benedict XVI departs Vatican for last time	3.6
China’s new carrier extends military modernization drive	Chinese vice premier meets Australian Governor-General	1.2
Brazilian leader holds crisis talks on street protests	Brazil leader promises reform vote	1.6
Tropical Storm Andrea zipping up the East Coast	Tropical Storm Andrea to slide up East Coast	4
Four dead in Indonesia train accident	Five dead as Indonesia train collides with fuel truck	3.4
Israel advances plan to build 900 settlement homes	Israel unveils plans for new settler homes	3.8
Miss New York wins Miss America crown	Miss New York is crowned Miss America	5
Austrian found hoarding 56 stolen skulls in home museum	Austrian man charged after 56 human skulls are found at his home	4.4
US set for Obama inauguration	US House backs new sanctions before Iran inauguration	0.4
Suspected Saudi militant dies in Lebanese custody	Suspected US drone kills 6 militants in Yemen	0.4
Man sets himself on fire on the National Mall	Man sets himself on fire at Washington's National Mall	4.8
7 killed in attacks in Iraq	27 killed in attacks across Iraq	2
Thousands protest gay marriage	Thousands protest gay marriage in France	3.2
India Ink: Image of the Day: January 27	India Ink: Image of the Day: March 20	1
US Capitol Hill on lockdown after shots fired	Watch live: US Capitol on lockdown after reports of shots fired	4.8
China's 1st Pilot Free Trade Zone Opens	Shanghai Free Trade Zone begins operation	3.8
12 killed, 25 injured in bomb blast in NW Pakistan	6 killed, 12 injured in blast in NW Pakista	2.6
Select images from Bangladesh building collapse	At least 200 killed in Bangladesh building collapse	1.4
Chinese court upholds death penalties for Mekong murderers	Court upholds death sentences for Mekong murderers	4.4
Egypt protesters 'to be dispersed'	Abduction teacher to be sentenced	0
Gas cylinder blast on Pakistan school bus kills 17	Deadly Gas Cylinder Blast Hits Pakistan School Bus	3.8
North Korean cargo reveals missile repair trade with Cuba	N Korean ship carrying Cuba missiles seized	2.8
Israeli forces detain 5 Palestinians in West Bank	Israeli Forces Arrest Five Palestinians across West Bank	4.8
Protests sweep Brazil despite concession	Protests planned across Brazil despite concessions	4
Angela Merkel wins third term in German elections	Merkel Wins Big in Germany Election	3.8
South Korean Workers Start Leaving Joint Factory Zone	South Korean workers set to leave joint factory zone	3.8
Senate to vote on moving ahead on Hagel nod	Benedict comes home to new house and new Pope	0
15 killed and scores injured in suicide bombing at Russian train station	Suicide bomber kills 14 at Russian train station	3.2
Cambodian opposition leader Sam Rainsy returns to stir up election	Cambodia opposition head turns to parliament in poll bid	3
West hails Syria opposition vote to join peace talks	Syrian opposition to name delegation for talks	2.6
Obama travels to tornado-ravaged Oklahoma	Obama visits tornado hit Oklahoma	4.6
No deal on fiscal cliff as Obama goes on holiday	John Boehner: from humble origin, fiscal cliff may be his undoing	1
Syria car bomb kills at least 12 in rebel-held town	Sinai car bomb kills at least 10 Egyptian soldiers	1.8
Kerry: $4b Palestinian Economic Plan Could Work	Kerry: No deal yet in nuclear talks with Iran	0
Bangladesh building collapse death toll hits 359	Indian building collapse death toll rises to 72	0.8
Dozens dead in Central African Republic fighting	98 dead in Central African Republic after clashes	3.4
Libya threatens army action against oil protesters	Bomb threat forces evacuation at Princeton	0.8
2 Turkish unions call for strike on Monday in protest over police violence	Turkey unrest: Unions call for strike over police crackdown	3.4
[Ticker] Fitch upgrades Greek credit rating	Moody's upgrades Greek credit rating	3.4
Gunmen ambush police boat in Nigeria oil region	Sudanese police block protest at human rights commission	0
Russians leaving Syria cross into Lebanon	Russia delivers humanitarian aid to Syrian refugees in Lebanon	2.2
"Two U.S. soldiers killed in ""insider"" attack in Afghanistan"	8 soldiers killed in bomb attack in NW Pakistan	0.8
South African icon Nelson Mandela hospitalized	South Africa's Nelson Mandela Hospitalized	5
Pope Francis condemns global indifference to suffering	Pope Francis commemorates dead migrants at Lampedusa	1.4
Top judge Mansour sworn in as Egypt interim president	Justice Adly Mansour sworn in as Egypt interim president	4.4
Blast kills 10 young girls in eastern Afghanistan	Blast kills nine in southern Afghanistan: officials	2.8
Kenyan police arrest key Al-Shabaab recruiter, financier	Kenya: Pair Arrested By Anti-Terror Police	3.2
Obama to announce gun control plans Wednesday	Obama to set out gun control plans	3.6
Bombs kill two people, wound dozens at Boston Marathon	Only two bombs found in Boston Marathon attack	2.2
Syria’s chemical weapons could end up at sea	US to destroy Syria chemical weapon stockpile at sea	2.4
President for early conclusion of Eco Partnership with Sri Lanka	Pakistan PM for deeper economic ties with Sri Lanka	2.6
Three freed in centre abuse probe	Three storey building collapses in Ebute Meta	0
Bomb explodes at Greek shopping mall, two people injured	Bomb explodes at Athens shopping mall, 2 wounded	4.4
Six Australians killed in Laos plane crash	Dozens killed in Laos plane crash	3
Three dead, including gunman, in Maryland mall shooting	3 dead in Maryland mall shooting	4.2
UN confirms sarin used in Syria attack	'War crime': U.N. finds sarin used in Syria chemical weapons attack	3.4
7 killed in monster truck crash	6 killed in Mexico ‘monster truck’ crash	3.2
Merkel Vies 3rd Term in Office in Germany Elections	Merkel Wins Big in Germany Election	3.25
Ex-Virginia governor Bob McDonnell charged with corruption	Virginia's ex-Gov. Bob McDonnell, wife charged with corruption	3.8
Sprinters Tyson Gay and Asafa Powell test positive for banned substance	US sprinter Tyson Gay tests positive for banned substance	3.4
6.3-magnitude quake hits Honshu, Japan: CENC	Magnitude-6.0 quake jolts Santa Cruz Islands: CENC	1.8
Pakistan to release most senior Afghan Taliban prisoner	Pakistan to release senior Taliban commander on Saturday	3.8
Egypt court orders release of Mubarak	Egypt court orders Mubarak freed	5
American investigators waiting to question arrested Boston bomber	Police converge on street in search for Boston bomb suspect	1.8
10 dead, five injured in SW China road accident	1 dead, 39 injured in E China road accident	1.75
Bollywood cuts costs by a third as rupee collapse bites	Bollywood cuts costs as rupee crisis bites	4.2
Women to face higher car insurance premiums	Women drivers to face insurance premium rise	5
Tornadoes rip through Midwest, killing 6 and devastating neighborhoods	Tornadoes, damaging storms hit U.S. Midwest, killing 5	3.2
China gives US regulators access to audit records	China opposes US arms sales to Taiwan	0.8
Singapore stocks end up 0.26 percent	Singapore stocks end up 0.11 pct	2
Iran, atomic agency in first talks since Rowhani election	IAEA, Iran to hold first nuclear talks since Rohani election	4.8
China's new PM rejects US hacking claims	China Premier Li rejects 'groundless' US hacking accusations	5
Dzhokhar Tsarnaev pleads not guilty to Boston bombing charges	Dzhokhar Tsarnaev charged in Boston Marathon bombing	2.6
Pictures of the day: 7 August 2013	Picture of the Day	2.8
Chinese general's son gets 10 years jail for rape	Son of Chinese army singers gets 10 years' jail for gang rape	3.4
P.G. police seeking driver in crash that killed child	Police seek gunmen in New Orleans Mother's Day parade shooting	0
Egypt to hold presidential elections before parliamentary polls	Egypt's interim president swears in new Cabinet	1.4
Pentagon adjusts plans for more intense attacks on Syria	Pope thanks public for joining his Syria vigil	1
East Timor bans martial arts clubs amid killings	East Timor Bans Martial Arts Schools Amid Killings	5
Afghan legislators approve new election law	Afghan president approves new electon law	2.6
In Pakistan, army adamant on fighting the other Taliban	Pak army adamant on fighting the other Taleban	4.8
Egyptian army pushes to attack kidnappers	Egypt's Morsi rules out talks as hostage video appears	1.4
South Africans Mourn as Mandela Buried	South Africa holds state funeral for Mandela	2.8
Witnesses hear 'loud booms' at Boston Marathon	Report of two explosions at finish line of Boston Marathon	3
Cryptic crossword - Saturday 27th April	Quiz crossword - Saturday 27th April	2.8
Costa Concordia captain to be tried for manslaughter	Costa Concordia survivors detail experience one year later	1.2
Israeli Minister Slams Kerry's Boycott Warning	Israeli minister slams Kerry’s boycott warning	4.6
Angelina Jolie's aunt dies of breast cancer	Angelina Jolie and the complex truth about breast cancer	2.8
Myanmar’s Suu Kyi urges party unity amid squabbles	Suu Kyi urges party unity amid squabbles	5
10 Things to Know for Wednesday	10 Things to Know for Today	3
White House, defense contractors discuss harm of automatic spending cuts	White House, defense firms discuss automatic spending cuts	4.4
Venezuela's Hugo Chavez dies of cancer	Venezuelan President Hugo Chavez dies of cancer at 58	3.8
Former Zambian president arrested	Zambia's ex-President Rupiah Banda arrested	4
US Senate confirms Yellen as Fed's next chair	US Senate Confirms Janet Yellen as New Central Bank Chief	4.2
26 Palestinian prisoners released from Israeli prison	Palestinian prisoner dies of cancer, unrest in Israel jails	1
Asian shares rally after string of upbeat data	Asian Markets up on Strong US Jobs Data	4
17 killed, 133 wounded in bomb attacks in northern Iraq	15 killed, 90 wounded in fresh attacks in Iraq	2.8
Officer injured in India anti-rape protests dies	Indian policeman injured in gang-rape protest dies	4.2
Cyprus bailout remarks alarm markets	Why Cyprus bailout is nothing more than usual euro nonsense	2.6
Faction Names Bianca Ojukwu APGA National Leader	Bianca Ojukwu becomes APGA national leader	4.2
US Cannot 'Conclusively Determine' Chemical Weapons Use in Syria	U.S. Sees No Conclusive Evidence of Chemical Arms Use by Syria	4.8
Twelve killed as gunmen raid village	Five Killed in Blasts in India	0.2
Egypt shuts down Muslim Brotherhood newspaper	Egypt: Muslim Brotherhood deputy head arrested	1.4
Strong earthquake in western China kills 47 people	Strong earthquake in western China kills at least 75	3
Snowden thanks Russia for asylum	Snowden thanks Russia for granting asylum	5
Senate confirms Yellen as Fed head	US Senate confirms Yellen as Fed's next chair	4.2
French forces take key Mali town	French forces seize key town	3.8
Boston bombing suspect buried in Virginia	Boston bomb suspect buried in Virginia cemetery	5
'Large and extremely dangerous' tornado heads towards Oklahoma City	Mom and baby among five killed as tornadoes rake Oklahoma City area	1.6
Hostage drama drags on after Alabama school bus shooting	Nevada: 2 dead, 2 hurt in middle school shooting	0.8
Palestinian president assigns academic to form West Bank gov't	Palestinian president wants Israelis to talk peace	1.8
Pakistan's Malala leaves hospital to await surgery	Malala leaves British hospital	3.6
two found dead in swimming pool at essex hotel	Man and woman found dead in Essex hotel swimming pool	4
Pakistan condemns US drone strike in Shawal Area	Pakistan condemns US drone strike in Miranshah	3.2
Residents return to Texas blast site	Residents return to Fallujah	0
South Africa prays for Nelson Mandela	South Africa unites in prayer and song for Nelson Mandela	4.2
Iran's Ahmadinejad may face charges over election appearance with aide	Ahmadinejad may face charges over election appearance	4.2
Miliband pledges to strengthen minimum wage	Portugal-China to strengthen scientific research ties	0
Singapore stocks close 0.44 pct lower	Singapore stocks close 0.5 pct higher	2.6
Sniper waiting for result of appeal	New glories for China in striving for renewal	0
Apple shares hit hard on iPhone disappointment	Apple stock plunges 11% after earnings disappointment	3.2
EU renews sanctions against Zimbabwe	EU lifts diamond sanctions against Zimbabwe	3
occupied Palestinian territory: Palestinians rebuff US peace talks blueprint	occupied Palestinian territory: Palestinians Face a Route to Nowhere	1.4
Owners, others charged in Bangladesh factory fire	50 survivors found in Bangladesh factory	1.8
Egypt set to lure Gulf investors	Egypt seeks to lure investors ...	3.4
US-Russia reach agreement on Syria	US-Russia reach agreement on Syria weapons	3.4
Palestinians, Jordan coordinate stances on peace talks	Hamas senior denies Gaza, PA coordinated on peace talks	1.8
Voting canceled in three provinces in tense Thai election	Cambodian opposition rejects Hun Sen election win	0
Obama cancels Moscow meeting with Putin	Obama canceled meeting with Putin	4
KLCI Futures traded mixed at mid-day	KL shares mixed at mid-day	3.6
Suspected U.S. drone strike kills 5 in Pakistan	US drone strike kills at least ten in Pakistan	2.8
Egypt court orders Mubarak release	Egypt court turns down Mubarak's release request	2
Hollande 'threatens legal action' after affair allegations	François Hollande threatens legal action over affair claims	4
Iranian exiles report deaths in Iraq camp	At least 47 Iranian exiles killed at Iraq's Camp Ashraf	3
'Blade Runner' Pistorius to dispute murder charge	Pistorius cop on seven attempted murder charges	2
Israeli forces detain 2 in Hebron arrest raid	Israeli credibility on line over Iran nuclear challenge	2.25
Egyptians vote on Islamist-backed constitution	'Judge at polls directs voters on Egypt constitution vote'	1.4
Mexico swears in president amid violent protests	Former New Mexico Gov. Richardson pressing North Korean test ban	0
Helicopter crashes near rail station in London	Helicopter crashes in London	4
Indonesian capital prays for metro to ease traffic chaos	Jakarta prays for metro to ease traffic chaos	3.8
Japanese planes flew into China's new defense zone	Japan, S Korean military planes defy China's new defence zone	4
Typhoon survivors raid Philippine stores	Typhoon Bopha kills 15 in S. Philippines	1.2
Car Bomb Wounds 15 in Hezbollah Stronghold in Lebanon	Car bomb rocks Hezbollah stronghold in Lebanon	3.2
RF FM urges Syrian opposition to assist in immediate release of all foreigners captured in Syria	S Korea opposition candidate closes poll gap	0.6
Five dead, 40 missing in Canada train disaster	8 dead, 11 missing in SW China landslide	0.6
US Senate confirms Janet Yellen as US Federal Reserve chief	Senate confirms Janet Yellen as next Federal Reserve Chair	4.6
Khan Said named as new Pakistani Taliban leader after Hakimullah Mehsud killed in drone strike	Pakistani Taliban chief Hakimullah Mehsud killed in drone strike	3.4
At Least 66 Killed in Bomb Blasts in Iraq	At Least 47 Killed In Baquba Blasts	2.2
Russia Destroys Over 75% of Its Chemical Weapons Stockpile	Britain Sees Evidence Assad Could Use Chemical Weapons	1
Iran earthquake death toll rises	Algeria hostage death toll rises	0.6
Suarez set for Cup comeback	French set for Mali ground combat	0.8
Maldives team in India to observe an election	Testimony in trial of former FM Liberman begins	0.6
Death toll rises to 6 as Storm Xaver batters northern Europe	Storm death toll rises as wind, rain batters north. Europe	3.2
Pakistan releases top Afghan Taliban prisoner	Pakistan releases seven Afghan Taliban fighters	3.6
Mixed reactions to NZ same-sex marriage	New Zealand legalizes same-sex marriage	2.2
TV weatherman Fred Talbot arrested over sex claims	Weatherman Fred Talbot Held Over 'Sex Abuse'	3.8
U.S. drone strike kills 5 in Pakistan	Pakistan drone strike kills up to six	3
Building collapses in India; 25 feared trapped	India building collapse kills 14; dozens trapped	3
Somalia's Shebab claims responsibility for Nairobi mall attack	Syrian rebels claim responsibility for killings in Lebanon	1.2
Syrian troops push into strategic rebelheld town	Syrian army pushes assault on rebel-held town	4
Israel agrees to release Palestinian prisoners	Israel releases 26 more Palestinian prisoners	2.8
Dozens die as clashes erupt at Morsi rally in Cairo	More than 70 dead in clashes at Morsi rallies in Egypt	3.6
Thai opposition protesters begin Bangkok shutdown	Thai protesters launch Bangkok 'shutdown'	4.8
Spanish train crash driver to be questioned	Spanish train driver Garzon to be questioned by judge	3.8
France Hails Breakthrough after U.S.-Russia Deal on Syria Weapons	France Welcomes US-Russia Deal on Syria	4
ISAF soldier killed in Afghan 'insider attack'	British soldier shot dead in Afghan ‘insider attack’	4
About 60 Crushed to Death in Ivory Coast Stampede	61 dead in Ivory Coast stampede	3.4
Glasgow Helicopter Crash Search Ends	Glasgow Helicopter Crash: At Least Six Dead	2.8
Three dead in US marathon bomb	Taliban denies involvement in Boston marathon bombing	1.2
Swiss tourist gang-raped in India	Swiss tourist gang-raped in India	5
India Braces for Massive Cyclone	India issues red alert for cyclone Phailin	2.8
Discipline against student gunman thought to have sparked Colorado shooting	Discipline against student thought to be key to motive	3.4
Many killed in Japan road tunnel collapse	Many killed in Syrian air strike	1.2
No plan to shut petrol pumps at night Moily	India govt rejects proposal to shut petrol pumps at night	3.8
Clinton to testify this month on Benghazi attack	Clinton returns to work, plans to testify on Benghazi attack	3.8
Tens of Thousands of Ukrainians Protest in Kyiv	Tens of thousands line up to cast votes in Bhutan	0.6
Karzai to visit Pakistan for Taliban peace talks	Afghan president extends visit to Pakistan for Taliban talks	3.6
Thieves snatch English Channel swimmer's custom-made wheelchair	Thieves steal Channel swimmer's wheelchair	4
Three die after car crash at Tian'anmen	Three Killed In Crash At Tiananmen Square	4.6
Singapore shares open lower on Friday	Singapore shares open higher on Thursday	2.2
Obama pledges to reignite economy	Obama to press Congress to act on economy	2.6
Two Earthquakes Hit Northwest China, 11 Dead	Twin quakes kill 89 in China	2.4
'Whitey' Bulger given two consecutive life terms	Whitey Bulger gets life for racketeering, killings	3.2
Kenyan forces caused mall collapse	Official says Kenyan forces caused mall collapse	5
Pak missions in UAE gear up for elections	Islamist parties in Egypt unite for elections	1.4
Bangladesh building disaster death toll passes 500	Bangladesh building collapse: death toll climbs to 580	3
Algeria hostage crisis ends; death toll unclear	Algeria hostage crisis ends in bloodbath	3.8
Egypt ministry again urges end to pro-Morsi protests	Egypt: Child killed in Cairo clashes after pro-Morsi protest	2.8
South Africa's Mandela taken to hospital	South Africa: Mandela remains in hospital	3.2
China yuan strengthens to 6.2689 against USD	China yuan strengthens to new high against USD	3
Police question man in deadly LA boardwalk crash	Police arrest suspect in deadly LA driving attack	2.2
Turkish riot police tear gas Taksim Square protest	Turkish riot police enter Taksim Square	3
Chicago Shooting Shows Gap in Stepped-up Policing	Chicago shooting shows gap in stepped-up policing	5
Feds move to require car-to-car safety communication	Guatemala overturns former dictator's genocide conviction	0
North Korea shuns offer of talks	North Korea shoots 2 rockets	1.2
Prince Charles 'compares Putin to Hitler'	Prince Charles 'compares Vladimir Putin to Adolf Hitler'	5
Iran warns against military intervention in Iraq	Explosion near Damascus military airport	0
Israel PM accuses Iran president of hypocrisy	Greek PM accuses coalition of hypocrisy	1.2
Police clash with youth in Cairo after anti-Morsi protest	Egypt: Police clash with pro-Morsi protesters	2.8
Top Diplomats Meet in Munich at Critical Time	Top Diplomats Discuss Iran's Nuclear Program	2.4
Snowden 'given refugee document by Ecuador'	Snowden poised to fly out of Moscow	1.2
NA President‚Äôs message on the World Press Freedom Day	Pakistan marks World Press Freedom Day	2.2
EU foreign ministers to discuss Syria arms embargo	EU foreign ministers seek solution on Syria arms	3.6
Death toll from Philippine earthquake rises to 185	Death toll from Philippines quake rises to 144	3.6
Stocks to watch at close on Monday	Stocks to watch on Monday	4
Army jets kill 38 militants in NW Pakistan air raids	U.S. drone kills 4 militants in Pakistan	3.2
Egyptian police fire tear gas at protesters in Cairo	Police fire tear gas at protesters in Cairo	4
Philippines holds second senator over corruption	Philippines recovering after powerful typhoon	1.4
German envoy optimistic about Iran-G5+1 talks	Iran 'cautiously optimistic' about future nuclear talks	1.4
Renowned Spanish flamenco guitarist Paco De Lucia dies	Spanish flamenco guitarist Paco de Lucia dies at 66	4.6
Chinese icebreaker changes course towards suspicious objects	Chinese search plane finds 'suspicious objects'	2
Snowden Hits Hurdles in Search for Asylum	Snowden's hits hurdles in search for asylum	5
Death toll in building collapse in south India mounts to 47	4 killed in building collapse in southern India	2.8
Pakistan imposes temporary ban on 2 TV channels	Pakistan Dismisses Case against FBI Agent	1.4
Palestinian prisoners arrive at Muqata in Ramallah	Pakistani prisoner assaulted in Jammu jail	1
10 dead, five injured in SW China road accident	5 hurt in Gaza City car accident	1
Thai junta amasses security force to smother Bangkok protests	Thai junta security forces stay in barracks as protests dwindle	1.8
Aso refuses to resign over Nazi comments	Spanish PM refuses to resign over corruption scandal	0.2
Explosions kill 29 outside two mosques in Lebanon's Tripoli	2 explosions rock city in northern Lebanon	2
Pakistan fighter jets bomb 'Taliban hideouts'	Pakistan wants arms supply to Syrian sides stopped	1.6
Gunmen Kill Eight In Second Kenya Attack	Gunmen 'Kill 15' In Second Kenya Attack	3
U.S. resumes search for missing British sailors after public	US Coast Guard suspends search for missing British sailors	2.4
Iraqi Bomb Attacks Kill At Least 13	Iraqi Car Bomb Near Church Kills At Least 14	3
Egypt forces set to block access to Morsi protest camps	Egyptian forces move to clear pro-Morsi protest camps	2.4
Nobel author Doris Lessing dies at 94	Nobel laureate Doris Lessing dies at 94	5
Japan's opposition party chief criticizes Abe's economic policies	Zimbabwe‚Äôs opposition MDC party challenges Robert Mugabe‚Äôs election win	0
3 Suspects Taken Into Custody in Boston Bombing Case	Boston police say 3 taken into custody in Marathon bombing	4.8
Ukraine's opposition chief wants more protests	Ukraine protesters topple Lenin statue	2.4
Queen pays tribute to Nelson Mandela	South Africa's rugby fraternity mourns Mandela	1
Declines in US stock market moderate	Tech sell-off sends Asian stock markets lower	0.4
Latest Anti-Muslim Violence in Burma Kills 1, Injures 10	World Briefing | Asia: Myanmar: Deadly Anti-Muslim Violence Flares Up	2.6
Suspected U.S. drone strike kills 5 in Pakistan	U.S. drone strike kills 5 in Pakistan	3.8
The Note's Must-Reads for Friday May 24, 2013	The Note's Must-Reads for Tuesday October 29, 2013	2
22 killed in mine accident in southwestern China	2 killed, dozens injured by blast in southwest Pakistan	0.6
NYPD Twitter Outreach Backfires Badly	NYPD's twitter campaign backfires	4.8
Turkish search ends as last missing miners found	Turkish Search Ends as Last Missing Miners Found	5
Iran predicts failure of Israeli-Palestinian peace talks	Tentative Deal Reached to Resume Israeli-Palestinian Talks - US	1.4
Olivia Colman wins second BAFTA Award	Baftas 2013: Olivia Colman picks up two awards	4.4
Titanic Violin Nabs Record $1.4 Million	Titanic violin sells for $1.7 million	3.8
Ankeet Chavan granted conditional bail for marriage	Ankeet Chavan granted bail to get married	5
JAL's first order from Airbus is blow to Boeing	Japan Airlines orders 31 Airbus A350s valued at $9.5 bn	3
Sienna Miller testifies at UK phone hacking trial	Sienna Miller attacks press for ‚Äėtitillating‚Äô reports at hacking trial	3
Israelis attack 2 Palestinians in Jerusalem area	Settlers Beat up Palestinian in Jerusalem	2.6
EU extends sanctions against Russia	Nigeria drops arms trafficking charges against Russian sailors	0.4
"Cuba sees ""major role"" for foreign investment"	House set to vote on plan to reopen government	0
‚ÄėGlee‚Äô star Cory Monteith found dead in hotel room	Cory Monteith found dead: Canadian ‚ÄėGlee‚Äô star was 31	3.4
Lebanon's PM forms 'unity cabinet' Lebanon's prime minister has formed a cabinet more than 10 months after taking office, taking in a wide range of political groups after bridging serious divisions am	BEIRUT: Lebanon's prime minister formed a cabinet more than 10 months after taking office yesterday, including a wide range of political groups after bridging serious divisions among them mostly over	4.6
Iranian president makes debut on world stage	Iran presidential candidate says western sanctions should be broken	0.6
Cameron 'has no concerns' over halal meat	Veterans health probe confirms cover-up of care delays	0
World's oldest man dies at 116	World's oldest ever man dies aged 116	4.6
GM slow on recalls, Congress record shows	mobile world congress future smartphone	0
Death toll in Lebanon bombings rises to 47	1 suspect arrested after Lebanon car bombings kill 45	2.8
Greek far-right leader imprisoned pending trial	Greek Far-Right Leader Imprisoned Pending Trial	5
Bangladesh factory owners arrested as death toll nears 350	Bangladesh factory owners arrested	3.2
4 Egyptian soldiers killed in Sinai ambush	3 Egyptian soldiers killed in Sinai car bombing	3.2
Beijing's Aircraft Carrier Returns from South China Sea	China sends carrier to South China Sea	2.4
Egypt courts hear cases against Mubarak, Islamists	Egypt court temporarily releases Mubarak over illicit gains	1.8
Moscow's Crimea success could lead to it redrawing Ukraine's eastern border	Merkel: Russian actions could lead to a catastrophe	2.6
Nelson Mandela dies aged 95	Nelson Mandela Dies at Age 95	5
Belgian King Albert II to step down in favor of son	Belgium King Albert II 'to abdicate'	4.2
Nazi Gestapo chief 'buried in Jewish cemetery'	Nazi chief buried in Jewish cemetary	4.8
Swiss vote on highest minimum wage	Swiss cast ballots on world's highest minimum wage	4.6
Kevin Rudd sworn in as Australian prime minister	Rudd sworn in as Australia's new Prime Minister	5
Donetsk Region Protesters Detain Trucks Carrying Government Rocket Ammo	Come and get me, says Thai protest leader as anti-government riots grow	0.8
Easy Rider star Karen Black dies aged 74	Easy Rider Actress Karen Black Dies Of Cancer	4.2
Coronation Street's Bill Roache Arrested	Coronation Street stars hail 'amazing' new set	1.2
Red Sox beat Tigers to reach World Series	Red Sox beat Tigers 5-2 to advance to World Series	4.4
At Least 22 Dead After China Earthquake	At least 89 dead in China earthquakes	2.8
News is my Business	A New iPad Is Coming	0.2
Glasgow helicopter death toll rises to nine	Earthquake death toll rises to 260	0.6
David Beckham to retire at end of season	David Beckham Retires From Football	4.4
Afghanistan: suicide bomber kills eight in military bus blast	Roadside bomb 'kills eight Afghan soldiers'	3.8
N. Korea's Kim hails execution of powerful uncle	North Korea's Kim seen behind sacking of powerful uncle	4.6
EU, Myanmar work toward investment protection agreement	China no longer top investment destination: poll	1.4
Tehelka editor embroiled in sex assault scam	Tehelka editor steps down after allegations of sexual misconduct	4.2
Iron Lady Margaret Thatcher dies at 87	Former British PM Margaret Thatcher dies at 87	4.6
Four Morsi supporters killed in Egypt clashes	Thousands of Morsi supporters gather in Egypt	2.2
U.N. condemns ethnic killings in South Sudan oil town	UN Condemns Ethnic Killings in South Sudan	4.6
Feds drop 'morning-after pill' appeal	US to allow morning-after pill for girls of any age	2.6
Police fire tear gas at protesters in Bangkok	Police fire tear gas at protesters	3
Shooting, protests mar Thai voting	Thai protesters disrupt advance voting	3.6
China stock index futures close lower -- April 23	China stock index futures close higher -- Dec. 4	2.2
Seven Filipinos slain in Yemen attack	Syrian soldiers killed in bomb attack	0.8
Israel ends airstrike case; Palestinians critical	Israeli gunboats fire at Palestinian fishermen	1.4
Protesters topple Lenin statue in Kiev	Ukraine protesters topple Lenin statue in Kiev	4.4
Iran 'thwarts nuclear sabotage attempts'	Iran says detects sabotage at nuclear facility	3.6
China yuan strengthens to 6.1184 against USD Tuesday	China Yuan Strengthens to 6.168 against USD Monday	3.2
Protesters gather in Brazil despite concessions	Protests continue in Ukraine despite concessions	1.2
Queen visits London soldier attack scene	Queen Elizabeth II visits barracks of UK soldier slain last week	4.2
India and China troops retreat to de facto border in face-off deal	India says China agrees retreat to de facto border in faceoff deal	4.2
Relief in Boston as second suspect captured	Police confirm how suspect was captured	2.4
Syrian army retakes Crusader castle from rebels	Syrian army retakes historic Crusader castle	4.6
Saudi to give Lebanese army $3 billion	Saudi Arabia to grant Lebanese army $3 billion	5
Red Cross workers released in Ukraine	Red Cross members kidnapped in Syria	0.8
Syria envoy says no peace talks without opposition	Syria: Cameron and Obama move west closer to intervention	0.6
Queen to name biggest ever carrier	Queen names giant aircraft carrier	4.2
Bangla militants escape from prison van in bomb ambush	Bangladesh prison van ambushed	3.4
